Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microVoSTN_R_5-6+,0,1.5277199966804258,654.7778837438424,388.05504000000656,772.3503146012765,53.49376,398813.22496,398759.73120000004,0.0,1.6411030240270346
microVoSTN_R_5-6+,2,1.3774524560233348,699.798168014572,455.1065599999856,754.3437962955401,1078.51776,385267.712,384189.19424,0.0,1.9943700878618948
microVA_L_1-2+,0,1.9434601924983779,514.8702653935484,357.7446399999899,525.4498908295104,124.84608,399149.30176,399024.45568,0.0,1.22129491002544
microVA_L_1-2+,1,2.8951546166599544,345.28638116017316,240.51712000000407,352.17335767393206,9.05216,398814.8224,398805.77024,0.0,2.766728146581941
microVA_L_1-2+,2,6.391379395948273,156.4513201724814,93.92128000000957,174.46331316827116,153.68192,399260.99968,399107.31776,0.0,4.247669149030039
microVA_L_1-2+,3,2.852578813473779,350.2281560632689,247.6031999999832,346.9433115301843,69.95968,398629.60128,398559.6416,0.0,3.0792550541421053
microVA_L_1-2+,4,10.621410665445387,94.07943003773585,64.55295999998634,94.89897651260978,94.6176,398991.40096,398896.78336,0.0,2.0440307051932782
microVA_L_1-3+,0,6.802110673744322,147.0151104825046,102.68671999999788,151.27936660620747,138.07616,399284.10112,399146.02496,0.0,2.487279965387007
microVA_L_1-3+,1,2.940234878857082,339.6191590792839,242.76991999999154,353.68530049516073,426.92608,398800.19968,398373.2736,0.0,2.326836772147328
microVA_L_1-3+,2,6.759534870558147,147.92966641957005,96.84992000000784,151.32438610370164,3.03104,399117.27104,399114.24000000005,0.0,2.7421001585420135
microVA_L_1-3+,3,6.090844314634091,164.23150413821475,109.0764799999888,162.45286995575788,14.25408,399261.04064,399246.78656000004,0.0,2.2073274408975516
microVA_L_1-3+,4,3.5488184185183007,281.3668809039548,181.75999999999476,302.5732393103156,429.2608,398844.76416,398415.50336000003,0.0,1.6310666573960142
microVA_L_2-3+,0,3.486206943244513,286.9408483105679,198.53312000000733,292.84713507093545,134.38976,399269.10976,399134.72000000003,0.0,2.0365552704544547
microVA_L_2-3+,1,0.8389937686687584,1191.2823568862277,810.7212800000125,1240.46067785913,416.93184,398305.23904,397888.30720000004,0.0,1.6009314449404386
microVA_L_2-3+,3,8.535196309322773,117.14906242442032,76.10368000000017,130.53487672035183,157.24544,399284.10112,399126.85568,0.0,2.2652733261886984
microVA_L_2-3+,4,5.342011070359588,187.15590363977486,130.6214399999808,184.93143600459595,174.03904,399190.4256,399016.38656,0.0,3.2062545391239436
microVA_R_1-3+,3,1.084430751742007,911.1420207407408,509.8905600000289,1240.7203937885479,679.48544,394292.8384,393613.35296,0.0,1.4450651762854745
microVA_R_4-5+,0,1.417523800198559,705.1281398938053,485.7446399999899,701.8035295404533,184.32,398581.71904,398397.39904,0.0,1.4123248244261155
microVA_R_4-5+,1,1.740599012611305,571.8305198847262,377.71264000001247,588.6021697894358,1575.23968,398425.62048,396850.3808,0.0,1.5195751426643986
microVA_R_4-5+,2,1.7756614387646261,561.5989731073447,376.7296000000133,560.0711407355373,781.23008,398393.30304,397612.07296,0.0,1.5198120543869629
microVA_R_5-6+,1,3.4937203202773675,285.794403902439,199.18847999998252,280.45036877335735,184.32,398581.71904,398397.39904,0.0,1.3209124447158163
microVA_R_5-6+,4,2.544530355126742,391.60701856157635,267.5507199999993,384.58630676934985,642.74432,398123.86816,397481.12384,0.0,1.4366485970036673
microVA_R_7-8+,0,1.5227110786585227,655.6151396375618,457.76896000000124,684.9587377116948,955.26912,398913.65888,397958.38976,0.0,1.59119156702956
microVA_R_7-8+,1,1.5402422917351835,647.7956085993485,419.6761599999991,701.3493914461606,619.84768,398366.35136,397746.50367999997,0.0,1.63953882165365
