Electrode,Cluster,Start_ms,End_ms,Duration_ms,Num_Spikes,RS,Method
microVIM_L_3_CommonFiltered,3,173911.12192,173936.4352,25.313280000002123,3,4.914644551879505,RankSurprise
microVIM_L_3_CommonFiltered,3,185957.49888,186873.4464,915.947519999987,17,9.44675963883573,RankSurprise
microVIM_L_3_CommonFiltered,3,188971.13088,189113.46688,142.33599999998114,5,4.667012855608959,RankSurprise
microVIM_L_3_CommonFiltered,3,193924.87424,194105.344,180.46976000000723,5,3.9027915327519587,RankSurprise
microVIM_L_3_CommonFiltered,3,201651.52768,201845.9648,194.43711999998777,5,3.61977868463385,RankSurprise
microVIM_L_3_CommonFiltered,3,215707.11552,215731.03616,23.920639999996638,3,5.060754726710886,RankSurprise
microVIM_L_3_CommonFiltered,3,226969.8048,227085.1072,115.30239999998594,4,3.5773932924424727,RankSurprise
microVIM_L_3_CommonFiltered,3,235057.39776,235226.35776,168.96000000002095,6,6.100263372302237,RankSurprise
microVIM_L_3_CommonFiltered,3,244070.35904,244555.73504,485.3759999999893,10,5.894218539458497,RankSurprise
microVIM_L_3_CommonFiltered,3,247205.84704,247216.9472,11.100160000001779,3,6.9684374579516035,RankSurprise
microVIM_L_3_CommonFiltered,3,249342.19776,249411.50208,69.30431999999564,4,5.205089970836607,RankSurprise
microVIM_L_3_CommonFiltered,3,254346.24,254837.1456,490.90559999999823,8,3.946647761454274,RankSurprise
microVIM_L_3_CommonFiltered,3,263159.52128,263187.0464,27.5251200000057,3,4.7208238012456345,RankSurprise
microVIM_L_3_CommonFiltered,3,291251.07712,291475.00544,223.92832000000635,6,4.569462648202667,RankSurprise
microVIM_L_3_CommonFiltered,3,298222.22336,298504.64256,282.4192000000039,6,3.825214334166659,RankSurprise
microVIM_L_3_CommonFiltered,3,299771.65824,300042.6496,270.99135999998543,6,3.887963805663846,RankSurprise
microVIM_L_3_CommonFiltered,3,302842.6752,302863.52384,20.84863999998197,3,5.330828668550808,RankSurprise
microVIM_L_3_CommonFiltered,3,310153.33888,310242.5088,89.16992000001483,4,4.585779074197074,RankSurprise
microVIM_L_3_CommonFiltered,3,324685.66016,324831.47776,145.8175999999512,5,4.6807964749505935,RankSurprise
microVIM_L_3_CommonFiltered,3,325674.1888,326157.02528,482.8364799999981,15,13.64846010353669,RankSurprise
microVIM_L_3_CommonFiltered,3,327478.39488,329435.42272,1957.0278399999952,35,15.830780561207058,RankSurprise
microVIM_L_3_CommonFiltered,3,332923.2896,333036.21632,112.92671999998856,4,3.6241880254616063,RankSurprise
microVIM_L_3_CommonFiltered,3,343232.1024,343639.32672,407.22432000003755,10,7.177232703479856,RankSurprise
microVIM_L_3_CommonFiltered,3,344920.02304,344965.44768,45.4246399999829,3,3.689248461915522,RankSurprise
microVIM_L_3_CommonFiltered,3,351919.63648,352003.03104,83.39455999998609,4,4.532110329048923,RankSurprise
